what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482083100
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482103280
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482189047
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482801321
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456482803118
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1456482807737
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482812165
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482896243
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1456482898978
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456482900334
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1456482901539
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1456482902545
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456482905031
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456482907375
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456482909463
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482921796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482932049
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456482932148
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456482932229
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456482953093
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1456482959182
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482959420
closed,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456482962526
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482962608
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1456482962617
