what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1456482962617
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456482975028
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483004351
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1456483004364
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483014865
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483049873
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456483050228
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456483050278
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456483067162
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456483077795
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456483082984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1456483086709
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1456483087588
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1456483088164
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456483088809
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1456483092152
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483119864
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483142456
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456483160277
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1456483162957
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483165244
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483169327
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483171884
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483174306
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456483175822
